index,movie_id,Rating,gross_income_doller,budget,Vote,Gross,rm_apr,rm_aug,rm_dec,rm_feb,rm_jan,rm_jul,rm_jun,rm_mar,rm_may,rm_nov,rm_oct,rm_sep,Year,Duration,MetaScore,Name,producer,producer_no,pop_rank_producer,Producer_fb_like,actor_1_name,actor_1_no,pop_rank_actor_1,actor_1_fb_likes,actor_2_name,actor_2_no,pop_rank_actor_2,actor_2_fb_likes,actor_3_name,actor_3_no,pop_rank_actor_3,actor_3_fb_likes,composer,composer_no,pop_rank_composer,composer_fb_like,directors,director_no,pop_rank_director,director_fb_likes,total_rank,total_fb_like, Musical, Mystery,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Romance,Sci_Fi,Sport,Thriller,War,Western,Assamese,Bengali,Bhojpuri,English,Gujarati,Hindi,Kannada,Malayalam,Mandarin,Marathi,Punjabi,Tamil,Telugu,Tibetan,Urdu,class
3019,959328,7.2,373271.0,1400000.0,354,675101,0,0,0,0,0,0,0,0,0,0,0,0,2004,148,0,Naa Autograph Sweet Memories,Bellamkonda Suresh,8,6.5,0,Bhoomika Chawla,3,8.67,41461,Gopika,4,6.5,4248,Kaniha,2,8.0,1489835,M.M. Keeravani,47,7.4,0,Gopal Reddy S.,1,8.0,0,7.51,1535544,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3020,1111881,6.3,373271.0,1400000.0,230,675101,0,0,0,0,0,0,0,0,0,0,0,0,2008,140,0,Calcutta News,Antony Thekkek,1,6.0,0,Dileep,23,6.74,0,Meera Jasmine,9,6.33,9475,Indrajith Sukumaran,4,5.75,0,Debajyoti Mishra,15,7.07,0,Blessy,5,8.4,20946,6.72,30421,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3021,476057,5.3,373271.0,1400000.0,58,675101,0,0,0,0,0,0,0,0,0,0,0,0,2005,145,0,Film Star,Sahara One,1,6.0,0,Mahima Chaudhry,2,5.5,0,Priyanshu Chatterjee,3,5.33,5780,Vasundhara Das,1,6.0,70315,Lalit Pandit,33,7.27,9282,Tanuja Chandra,6,7.0,0,6.18,85377,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3022,220596,4.5,100975.0,1400000.0,323,81825,0,0,0,0,0,0,0,1,0,0,0,0,2000,124,0,Khauff,Vijay Tolani,1,0.0,0,Sanjay Dutt,55,6.09,842497,Manisha Koirala,25,6.52,47845,Sharad S. Kapoor,4,5.0,0,Adesh Shrivastava,46,5.8,96684,Sanjay Gupta,12,5.83,0,4.87,987026,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3023,984085,6.6,373271.0,1400000.0,14,675101,0,0,0,0,0,0,0,0,0,0,0,0,2006,140,0,"Pahili Sher, Dusri Savvasher, Navara Pavsher",S.B. Pardesi,1,6.0,0,Ashok Saraf,1,6.0,0,Surekha Kudachi,2,6.0,0,Sarika Nilatkar,1,6.0,0, Unknown,427,6.54,0,Pitambar Kale,1,6.0,0,6.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3024,6779222,6.6,373271.0,1400000.0,21,675101,0,0,0,0,0,0,0,0,0,0,0,0,2009,151,0,Renigunta,S. Mahendra Kumar Jain,1,6.0,0,S. Elango,1,6.0,0,Theepetti Ganesan,1,6.0,0,Johnny,1,6.0,0,Ganesh Raghavendra,1,6.0,0,R. Panneerselvam,2,5.5,0,5.92,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3025,292113,6.8,373271.0,1400000.0,240,675101,0,0,0,0,0,0,0,0,0,0,0,0,2002,104,0,Mitr: My Friend,George Pius Tharayil,8,7.13,0,Shobana,1,6.0,0,Nassar Abdulla,1,6.0,0,Preeti Vissa,1,6.0,0,Bhavatharani R.,1,6.0,0,Revathy,2,5.0,0,6.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3026,458017,6.4,373271.0,1400000.0,600,675101,0,0,0,0,0,0,0,0,0,0,0,0,2006,91,0,Mixed Doubles,Gurudas Pai,1,6.0,0,Konkona Sen Sharma,3,7.33,0,Ranvir Shorey,4,6.5,0,Koel Purie,3,6.0,0,Sagar Desai,9,7.0,0,Rajat Kapoor,4,6.5,0,6.56,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
3027,349115,3.1,373271.0,1400000.0,304,675101,0,0,0,0,0,0,0,0,0,0,0,0,2003,180,0,Baaz: A Bird in Danger,Tinnu Verma,1,6.0,0,Jackie Shroff,34,6.03,368239,Sunil Shetty,26,6.42,6633,Karisma Kapoor,17,5.71,0,Ismail Darbar,6,6.33,0,Tinnu Verma,2,6.5,0,6.17,374872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3028,1287847,6.9,39080.0,2800000.0,358,675101,0,1,0,0,0,0,0,0,0,0,0,0,2008,132,0,Mukhbiir,Sudhish Rombhotla,1,5.0,0,Sammir Dattani,1,5.0,481,Rahul Dev,3,5.67,58216,Om Puri,17,6.29,1172,Karthik Raja,4,6.0,0,Mani Shankar,5,6.0,0,5.66,59869,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
