Name,Year,Genre,Budget,Duration,Rating,Language,Industry
Kesari,2019,"Action ,Drama ,History ,War",16800000,150,7.4,Hindi,Bollywood
Sarkar,2018,"Action ,Drama",1400000,163,6.9,Tamil,Kollywood
Masaan,2015,Drama,1400000,109,8.1,Hindi,Bollywood
Evaru,2019,"Crime ,Drama ,Thriller",1400000,118,8.3,Telugu,Tollywood
Love Sonia,2018,Drama,1400000,122,7.4,Hindi,Bollywood
Romeo Akbar Walter,2019,"Action ,Drama ,Thriller",1400000,141,6.5,Hindi,Bollywood
Padmaavat,2018,"Drama ,History ,Romance ,War",1400000,164,7.0,Hindi,Bollywood
Arjun Reddy,2017,"Action ,Drama ,Romance",350000,182,8.2,Telugu,Tollywood
The Breadwinner,2017,"Animation ,Drama ,Family ,War",1400000,94,7.7,English,Hollywood
Aadai,2019,"Drama ,Thriller",1400000,143,6.4,Tamil,Kollywood
Sonchiriya,2019,"Action ,Crime ,Drama",1400000,143,7.5,Hindi,Bollywood
Tamasha,2015,"Comedy ,Drama ,Romance",1400000,139,7.2,Hindi,Bollywood
Raazi,2018,"Action ,Drama ,Thriller",4200000,138,7.8,Hindi,Bollywood
October,2018,"Drama ,Romance",1400000,115,7.5,Hindi,Bollywood
Paranoia,2013,"Drama ,Thriller",35000000,106,5.7,English,Hollywood
Talvar,2015,"Mystery ,Crime ,Drama ,Thriller",1400000,132,8.2,Hindi,Bollywood
Section 375,2019,"Crime ,Drama",1400000,124,8.5,Hindi,Bollywood
Vikram Vedha,2017,"Action ,Crime ,Thriller",2100000,147,8.7,Tamil,Kollywood
Who,2018,"Mystery ,Western",700000,153,7.0,Malayalam,Mollywood
Arjun Patiala,2019,"Action ,Comedy",1400000,107,4.1,Hindi,Bollywood
Hop,2011,"Adventure ,Animation ,Comedy ,Family ,Fantasy",63000000,95,5.4,English,Hollywood
96,2018,"Drama ,Romance",1400000,158,8.7,Tamil,Kollywood
Peranbu,2018,Drama,980000,147,9.2,Tamil,Kollywood
Sivappu Manjal Pachai,2019,"Action ,Thriller",1400000,140,7.3,Tamil,Kollywood
Baby,2015,"Action ,Thriller",1400000,159,8.0,Hindi,Bollywood
B.A. Pass,2012,"Crime ,Drama",1400000,95,6.4,Hindi,Bollywood
Gang Leader,2019,"Action ,Comedy",1400000,155,7.7,English,Hollywood
Ugly,2013,"Mystery ,Crime ,Drama ,Thriller",1475000,128,8.1,Hindi,Bollywood
Hotel Mumbai,2018,"Drama ,History ,Thriller",1400000,123,7.6,English,Hollywood
Ready Player One,2018,"Action ,Adventure ,Western",175000000,140,7.5,English,Hollywood
Ghost,2019,"Horror ,Thriller",1400000,130,8.8,Hindi,Bollywood
Jumanji: Welcome to the Jungle,2017,"Action ,Adventure ,Comedy ,Fantasy",90000000,119,6.9,English,Hollywood
The Sky Is Pink,2019,"Drama ,Family ,Romance",1400000,143,6.6,English,Hollywood
Batla House,2019,"Action ,Drama ,Thriller",1400000,146,7.3,Hindi,Bollywood
Arrival,2016,"Mystery ,Drama ,Thriller ,Western",47000000,116,7.9,English,Hollywood
Saaho,2019,"Action ,Thriller",49000000,170,5.5,Telugu,Tollywood
The Help,2011,Drama,25000000,146,8.1,English,Hollywood
Mission: Impossible - Ghost Protocol,2011,"Action ,Adventure ,Thriller",145000000,132,7.4,English,Hollywood
Super 30,2019,"Biography ,Drama",1400000,154,8.2,Hindi,Bollywood
Ghost in the Shell,2017,"Action ,Drama ,Thriller ,Western",110000000,107,6.3,English,Hollywood
Judgementall Hai Kya,2019,"Comedy ,Drama ,Thriller",1400000,121,6.0,Hindi,Bollywood
The House with a Clock in Its Walls,2018,"Comedy ,Fantasy ,Horror ,Western",42000000,105,6.0,English,Hollywood
The Girl on the Train,2016,"Mystery ,Crime ,Drama ,Thriller",45000000,112,6.5,English,Hollywood
Lincoln,2012,"Biography ,Drama ,History ,War",65000000,150,7.3,English,Hollywood
A Dog's Journey,2019,"Comedy ,Drama ,Family ,Fantasy",16000000,109,7.4,English,Hollywood
Dangal,2016,"Action ,Biography ,Drama ,Sport",9800000,161,8.4,Hindi,Bollywood
Dredd,2012,"Action ,Crime ,Western",50000000,95,7.1,English,Hollywood
Article 15,2019,"Crime ,Drama",1400000,130,8.3,Hindi,Bollywood
Andhadhun,2018,"Crime ,Thriller",4500000,139,8.4,Hindi,Bollywood
Kabir Singh,2019,"Drama ,Romance",1400000,173,7.2,Hindi,Bollywood
Jallikattu,2019,Crime,1400000,95,8.3,Malayalam,Mollywood
Mission Mangal,2019,"Drama ,History",1400000,130,6.5,Hindi,Bollywood
A Dog's Purpose,2017,"Adventure ,Comedy ,Drama ,Family ,Fantasy",22000000,100,7.1,English,Hollywood
Need for Speed,2014,"Action ,Crime ,Thriller",66000000,132,6.5,English,Hollywood
Bridge of Spies,2015,"Drama ,History ,Thriller",40000000,142,7.6,English,Hollywood
I Am Number Four,2011,"Action ,Adventure ,Thriller ,Western",60000000,111,6.1,English,Hollywood
Bahubali: The Beginning,2015,"Action ,Drama",18026148,159,8.1,Telugu,Tollywood
Gully Boy,2019,"Drama ,Music",1400000,153,8.2,Hindi,Bollywood
Cowboys & Aliens,2011,"Action ,Adventure ,Fantasy ,Thriller ,Western",163000000,119,6.0,English,Hollywood
Dream Girl,2019,"Comedy ,Romance",1400000,132,7.5,Hindi,Bollywood
Tumbbad,2018,"Drama ,Fantasy ,Horror ,Thriller",1400000,104,8.2,Other Language,Other-wood
Housefull 3,2016,"Action ,Comedy",1400000,140,5.1,Hindi,Bollywood
War Horse,2011,"Action ,Adventure ,Drama ,History ,War",66000000,146,7.2,English,Hollywood
Chhichhore,2019,"Comedy ,Drama",1400000,143,8.4,Hindi,Bollywood
PK,2014,"Comedy ,Drama ,Fantasy",1400000,153,8.2,Hindi,Bollywood
Real Steel,2011,"Action ,Drama ,Family ,Sport ,Western",110000000,127,7.1,English,Hollywood
Badla,2019,"Mystery ,Crime ,Drama ,Thriller",1400000,118,7.9,Hindi,Bollywood
Housefull,2010,Comedy,1400000,144,5.3,Hindi,Bollywood
Gangs of Wasseypur,2012,"Action ,Comedy ,Crime ,Drama ,Thriller",2576000,321,8.2,Hindi,Bollywood
The Hundred-Foot Journey,2014,"Comedy ,Drama",22000000,122,7.3,English,Hollywood
The Way Back,2010,"Adventure ,Drama ,History",30000000,133,7.3,Other Language,Other-wood
Office Christmas Party,2016,Comedy,45000000,105,5.8,English,Hollywood
Onnam Loka Mahayudham,2015,Thriller,1400000,140,4.0,Malayalam,Mollywood
Goli Soda,2014,"Action ,Drama",1400000,111,7.7,Tamil,Kollywood
Velayudham,2011,Action,6300000,160,6.0,Tamil,Kollywood
Chintu Ka Birthday,2019,Drama,1400000,80,8.5,Hindi,Bollywood
Shirin Farhad Ki Toh Nikal Padi,2012,Romance,1400000,111,4.2,Hindi,Bollywood
Ratnakar,2019,Drama,1400000,140,7.4,Other Language,Other-wood
Shu Thayu,2018,"Comedy ,Drama",420000,135,7.3,Other Language,Other-wood
Papanasam,2015,"Drama ,Thriller",1400000,179,8.4,Tamil,Kollywood
Dil Juunglee,2018,"Comedy ,Romance",1400000,124,4.0,Hindi,Bollywood
Kuni Ghar Deta Ka Ghar,2013,Comedy,1400000,140,6.3,Other Language,Other-wood
S.P. Chauhan,2018,Drama,1400000,136,7.6,Hindi,Bollywood
Jackpot,2013,"Comedy ,Thriller",2520000,132,2.0,Hindi,Bollywood
Gautamiputra Satakarni,2017,"Action ,History",1400000,131,6.6,Telugu,Tollywood
Ee Maaya Peremito,2018,Romance,1400000,108,6.8,Telugu,Tollywood
Evening Shadows,2018,Drama,1400000,102,7.3,Hindi,Bollywood
Dharam Sankat Mein,2015,Comedy,1400000,129,6.2,Hindi,Bollywood
Jihne Mera Dil Luteya,2011,"Comedy ,Drama",420000,135,7.3,Other Language,Other-wood
Nikka Zaildar 2,2017,"Comedy ,Drama ,Romance",56000,150,6.8,Other Language,Other-wood
F2: Fun and Frustration,2019,Comedy,1400000,148,6.3,Telugu,Tollywood
